"County","State","nbp"
"Northampton County","NC",1
"Northampton County","PA",1
"Northampton County","VA",1
"Northumberland County","PA",1
"Northumberland County","VA",1
"Norton County","KS",0
"Norton city","VA",1
"Nottoway County","VA",1
"Nowata County","OK",0
"Nuckolls County","NE",0
"Nueces County","TX",0
"Nye County","NV",0
"Oakland County","MI",1
"Obion County","TN",1
"Ocean County","NJ",1
"Oceana County","MI",1
"Ochiltree County","TX",0
"Oconee County","SC",1
"Ogemaw County","MI",1
"Ogle County","IL",1
"Ohio County","IN",1
"Ohio County","KY",1
"Ohio County","WV",1
"Okaloosa County","FL",0
"Okanogan County","WA",0
"Okeechobee County","FL",0
"Okfuskee County","OK",0
"Oklahoma County","OK",0
"Okmulgee County","OK",0
"Oldham County","KY",1
"Oldham County","TX",0
"Oliver County","ND",0
"Olmsted County","MN",0
"Oneida County","ID",0
"Oneida County","NY",1
"Onondaga County","NY",1
"Onslow County","NC",1
"Ontario County","NY",1
"Ontonagon County","MI",1
"Orange County","FL",0
"Orange County","IN",1
"Orange County","NC",1
"Orange County","NY",1
"Orange County","TX",0
"Orange County","VA",1
"Orangeburg County","SC",1
"Orleans County","NY",1
"Orleans Parish","LA",0
"Osage County","KS",0
"Osage County","OK",0
"Osborne County","KS",0
"Osceola County","FL",0
"Osceola County","MI",1
"Oscoda County","MI",1
"Oswego County","NY",1
"Otero County","NM",0
"Otoe County","NE",0
"Otsego County","MI",1
"Otsego County","NY",1
"Ottawa County","KS",0
"Ottawa County","MI",1
"Ottawa County","OH",1
"Ottawa County","OK",0
"Otter Tail County","MN",0
"Ouachita Parish","LA",0
"Overton County","TN",1
"Owen County","IN",1
"Owen County","KY",1
"Owsley County","KY",1
"Owyhee County","ID",0
"Pacific County","WA",0
"Page County","VA",1
"Palm Beach County","FL",0
"Palo Pinto County","TX",0
"Pamlico County","NC",1
"Panola County","TX",0
"Park County","MT",0
"Park County","WY",0
"Parke County","IN",1
"Parker County","TX",0
"Parmer County","TX",0
"Pasco County","FL",0
"Pasquotank County","NC",1
"Passaic County","NJ",1
"Patrick County","VA",1
"Paulding County","OH",1
"Pawnee County","KS",0
"Pawnee County","NE",0
"Pawnee County","OK",0
"Payette County","ID",0
"Payne County","OK",0
"Pecos County","TX",0
"Pembina County","ND",0
"Pend Oreille County","WA",0
"Pender County","NC",1
"Pendleton County","KY",1
"Pendleton County","WV",1
"Pennington County","MN",0
"Pennington County","SD",0
"Peoria County","IL",1
"Perkins County","NE",0
"Perkins County","SD",0
"Perquimans County","NC",1
"Perry County","IL",1
"Perry County","IN",1
"Perry County","KY",1
"Perry County","OH",1
"Perry County","PA",1
"Perry County","TN",1
"Pershing County","NV",0
"Person County","NC",1
"Petersburg city","VA",1
"Petroleum County","MT",0
"Phelps County","NE",0
"Philadelphia County","PA",1
"Phillips County","KS",0
"Phillips County","MT",0
"Piatt County","IL",1
"Pickaway County","OH",1
"Pickens County","SC",1
"Pickett County","TN",1
"Pierce County","ND",0
"Pierce County","NE",0
"Pierce County","WA",0
"Pike County","IL",1
"Pike County","IN",1
"Pike County","KY",1
"Pike County","OH",1
"Pike County","PA",1
"Pine County","MN",0
"Pinellas County","FL",0
"Pipestone County","MN",0
"Pitt County","NC",1
"Pittsburg County","OK",0
"Pittsylvania County","VA",1
"Piute County","UT",0
"Plaquemines Parish","LA",0
"Platte County","NE",0
"Platte County","WY",0
"Pleasants County","WV",1
"Plymouth County","MA",1
"Pocahontas County","WV",1
"Pointe Coupee Parish","LA",0
"Polk County","FL",0
"Polk County","MN",0
"Polk County","NC",1
"Polk County","NE",0
"Polk County","OR",0
"Polk County","TN",1
"Polk County","TX",0
"Pondera County","MT",0
"Pontotoc County","OK",0
"Pope County","IL",1
"Pope County","MN",0
"Poquoson city","VA",1
"Portage County","OH",1
"Porter County","IN",1
"Portsmouth city","VA",1
"Posey County","IN",1
"Pottawatomie County","KS",0
"Pottawatomie County","OK",0
"Potter County","PA",1
"Potter County","SD",0
"Potter County","TX",0
"Powder River County","MT",0
"Powell County","KY",1
"Powell County","MT",0
"Power County","ID",0
"Powhatan County","VA",1
"Prairie County","MT",0
"Pratt County","KS",0
"Preble County","OH",1
"Presidio County","TX",0
"Presque Isle County","MI",1
"Preston County","WV",1
"Prince Edward County","VA",1
"Prince George County","VA",1
"Prince George's County","MD",1
"Prince William County","VA",1
"Providence County","RI",1
"Pulaski County","IL",1
"Pulaski County","IN",1
"Pulaski County","KY",1
"Pulaski County","VA",1
"Pushmataha County","OK",0
"Putnam County","FL",0
"Putnam County","IL",1
"Putnam County","IN",1
"Putnam County","NY",1
"Putnam County","OH",1
"Putnam County","TN",1
"Putnam County","WV",1
"Quay County","NM",0
"Queen Anne's County","MD",1
"Queens County","NY",1
"Radford city","VA",1
"Rains County","TX",0
"Raleigh County","WV",1
"Ramsey County","MN",0
"Ramsey County","ND",0
"Randall County","TX",0
"Randolph County","IL",1
"Randolph County","IN",1
"Randolph County","NC",1
"Randolph County","WV",1
"Ransom County","ND",0
"Rapides Parish","LA",0
"Rappahannock County","VA",1
"Ravalli County","MT",0
"Rawlins County","KS",0
"Reagan County","TX",0
"Real County","TX",0
"Red Lake County","MN",0
"Red River County","TX",0
"Red River Parish","LA",0
"Red Willow County","NE",0
"Redwood County","MN",0
"Reeves County","TX",0
"Refugio County","TX",0
"Reno County","KS",0
"Rensselaer County","NY",1
"Renville County","MN",0
"Renville County","ND",0
"Republic County","KS",0
"Rhea County","TN",1
"Rice County","KS",0
"Rice County","MN",0
"Rich County","UT",0
"Richardson County","NE",0
"Richland County","IL",1
"Richland County","MT",0
"Richland County","ND",0
"Richland County","OH",1
"Richland County","SC",1
"Richland Parish","LA",0
"Richmond County","NC",1
"Richmond County","NY",1
"Richmond County","VA",1
"Richmond city","VA",1
"Riley County","KS",0
"Rio Arriba County","NM",0
"Ripley County","IN",1
"Ritchie County","WV",1
"Roane County","TN",1
"Roane County","WV",1
"Roanoke County","VA",1
"Roanoke city","VA",1
"Roberts County","SD",0
"Roberts County","TX",0
"Robertson County","KY",1
"Robertson County","TN",1
"Robertson County","TX",0
"Robeson County","NC",1
"Rock County","MN",0
"Rock County","NE",0
"Rock Island County","IL",1
"Rockbridge County","VA",1
"Rockcastle County","KY",1
"Rockingham County","NC",1
"Rockingham County","VA",1
"Rockland County","NY",1
"Rockwall County","TX",0
"Roger Mills County","OK",0
"Rogers County","OK",0
"Rolette County","ND",0
"Rooks County","KS",0
"Roosevelt County","MT",0
"Roosevelt County","NM",0
"Roscommon County","MI",1
"Roseau County","MN",0
"Rosebud County","MT",0
"Ross County","OH",1
"Rowan County","KY",1
"Rowan County","NC",1
"Runnels County","TX",0
"Rush County","IN",1
"Rush County","KS",0
"Rusk County","TX",0
"Russell County","KS",0
"Russell County","KY",1
"Russell County","VA",1
"Rutherford County","NC",1
"Rutherford County","TN",1
"Sabine County","TX",0
"Sabine Parish","LA",0
"Saginaw County","MI",1
"Salem County","NJ",1
"Salem city","VA",1
"Saline County","IL",1
"Saline County","KS",0
"Saline County","NE",0
"Salt Lake County","UT",0
"Saluda County","SC",1
"Sampson County","NC",1
"San Augustine County","TX",0
"San Jacinto County","TX",0
"San Juan County","NM",0
"San Juan County","UT",0
"San Juan County","WA",0
"San Miguel County","NM",0
"San Patricio County","TX",0
"San Saba County","TX",0
"Sanborn County","SD",0
"Sanders County","MT",0
"Sandoval County","NM",0
"Sandusky County","OH",1
"Sangamon County","IL",1
"Sanilac County","MI",1
"Sanpete County","UT",0
"Santa Fe County","NM",0
"Santa Rosa County","FL",0
"Sarasota County","FL",0
"Saratoga County","NY",1
"Sargent County","ND",0
"Sarpy County","NE",0
"Saunders County","NE",0
"Schenectady County","NY",1
"Schleicher County","TX",0
"Schoharie County","NY",1
"Schoolcraft County","MI",1
"Schuyler County","IL",1
"Schuyler County","NY",1
"Schuylkill County","PA",1
"Scioto County","OH",1
"Scotland County","NC",1
"Scott County","IL",1
"Scott County","IN",1
"Scott County","KS",0
"Scott County","KY",1
"Scott County","MN",0
"Scott County","TN",1
"Scott County","VA",1
"Scotts Bluff County","NE",0
"Scurry County","TX",0
"Sedgwick County","KS",0
"Seminole County","FL",0
"Seminole County","OK",0
"Seneca County","NY",1
"Seneca County","OH",1
"Sequatchie County","TN",1
"Sequoyah County","OK",0
"Sevier County","TN",1
"Sevier County","UT",0
"Seward County","KS",0
"Seward County","NE",0
"Shackelford County","TX",0
"Shannon County","SD",0
"Shawnee County","KS",0
"Shelby County","IL",1
"Shelby County","IN",1
"Shelby County","KY",1
"Shelby County","OH",1
"Shelby County","TN",1
"Shelby County","TX",0
"Shenandoah County","VA",1
"Sherburne County","MN",0
"Sheridan County","KS",0
"Sheridan County","MT",0
"Sheridan County","ND",0
"Sheridan County","NE",0
"Sheridan County","WY",0
"Sherman County","KS",0
"Sherman County","NE",0
"Sherman County","OR",0
"Sherman County","TX",0
"Shiawassee County","MI",1
"Shoshone County","ID",0
"Sibley County","MN",0
"Sierra County","NM",0
"Silver Bow County","MT",0
"Simpson County","KY",1
"Sioux County","ND",0
"Sioux County","NE",0
"Skagit County","WA",0
"Skamania County","WA",0
"Slope County","ND",0
"Smith County","KS",0
"Smith County","TN",1
"Smith County","TX",0
"Smyth County","VA",1
"Snohomish County","WA",0
"Snyder County","PA",1
"Socorro County","NM",0
"Somerset County","MD",1
"Somerset County","NJ",1
"Somerset County","PA",1
"Somervell County","TX",0
"Southampton County","VA",1
"Spartanburg County","SC",1
"Spencer County","IN",1
"Spencer County","KY",1
"Spink County","SD",0
"Spokane County","WA",0
"Spotsylvania County","VA",1
"St. Bernard Parish","LA",0
"St. Charles Parish","LA",0
"St. Clair County","IL",1
"St. Clair County","MI",1
"St. Helena Parish","LA",0
"St. James Parish","LA",0
"St. John the Baptist Parish","LA",0
"St. Johns County","FL",0
"St. Joseph County","IN",1
"St. Joseph County","MI",1
"St. Landry Parish","LA",0
"St. Lawrence County","NY",1
"St. Louis County","MN",0
"St. Lucie County","FL",0
"St. Martin Parish","LA",0
"St. Mary Parish","LA",0
"St. Mary's County","MD",1
"St. Tammany Parish","LA",0
"Stafford County","KS",0
"Stafford County","VA",1
"Stanley County","SD",0
"Stanly County","NC",1
"Stanton County","KS",0
"Stanton County","NE",0
"Stark County","IL",1
"Stark County","ND",0
"Stark County","OH",1
"Starke County","IN",1
"Starr County","TX",0
"Staunton city","VA",1
"Stearns County","MN",0
"Steele County","MN",0
"Steele County","ND",0
"Stephens County","OK",0
"Stephens County","TX",0
"Stephenson County","IL",1
"Sterling County","TX",0
"Steuben County","IN",1
"Steuben County","NY",1
"Stevens County","KS",0
"Stevens County","MN",0
"Stevens County","WA",0
"Stewart County","TN",1
"Stillwater County","MT",0
"Stokes County","NC",1
"Stonewall County","TX",0
"Storey County","NV",0
"Stutsman County","ND",0
"Sublette County","WY",0
"Suffolk County","MA",1
"Suffolk County","NY",1
"Suffolk city","VA",1
"Sullivan County","IN",1
"Sullivan County","NY",1
"Sullivan County","PA",1
"Sullivan County","TN",1
"Sully County","SD",0
"Summers County","WV",1
"Summit County","OH",1
"Summit County","UT",0
"Sumner County","KS",0
"Sumner County","TN",1
"Sumter County","FL",0
"Sumter County","SC",1
"Surry County","NC",1
"Surry County","VA",1
"Susquehanna County","PA",1
"Sussex County","DE",1
"Sussex County","NJ",1
"Sussex County","VA",1
"Sutton County","TX",0
"Suwannee County","FL",0
"Swain County","NC",1
"Sweet Grass County","MT",0
"Sweetwater County","WY",0
"Swift County","MN",0
"Swisher County","TX",0
"Switzerland County","IN",1
"Talbot County","MD",1
"Tangipahoa Parish","LA",0
"Taos County","NM",0
"Tarrant County","TX",0
"Taylor County","FL",0
"Taylor County","KY",1
"Taylor County","TX",0
"Taylor County","WV",1
"Tazewell County","IL",1
"Tazewell County","VA",1
"Tensas Parish","LA",0
"Terrebonne Parish","LA",0
"Terrell County","TX",0
"Terry County","TX",0
"Teton County","ID",0
"Teton County","MT",0
"Teton County","WY",0
"Texas County","OK",0
"Thayer County","NE",0
"Thomas County","KS",0
"Thomas County","NE",0
"Throckmorton County","TX",0
"Thurston County","NE",0
"Thurston County","WA",0
"Tillamook County","OR",0
"Tillman County","OK",0
"Tioga County","NY",1
"Tioga County","PA",1
"Tippecanoe County","IN",1
"Tipton County","IN",1
"Tipton County","TN",1
"Titus County","TX",0
"Todd County","KY",1
"Todd County","MN",0
"Todd County","SD",0
"Tom Green County","TX",0
"Tompkins County","NY",1
"Tooele County","UT",0
"Toole County","MT",0
"Torrance County","NM",0
"Towner County","ND",0
"Traill County","ND",0
"Transylvania County","NC",1
"Traverse County","MN",0
"Travis County","TX",0
"Treasure County","MT",0
"Trego County","KS",0
"Trigg County","KY",1
"Trimble County","KY",1
"Trinity County","TX",0
"Tripp County","SD",0
"Trousdale County","TN",1
"Trumbull County","OH",1
"Tucker County","WV",1
"Tulsa County","OK",0
"Turner County","SD",0
"Tuscarawas County","OH",1
"Tuscola County","MI",1
"Twin Falls County","ID",0
"Tyler County","TX",0
"Tyler County","WV",1
"Tyrrell County","NC",1
"Uinta County","WY",0
"Uintah County","UT",0
"Ulster County","NY",1
"Umatilla County","OR",0
"Unicoi County","TN",1
"Union County","FL",0
"Union County","IL",1
"Union County","IN",1
"Union County","KY",1
"Union County","NC",1
"Union County","NJ",1
"Union County","NM",0
"Union County","OH",1
"Union County","OR",0
"Union County","PA",1
"Union County","SC",1
"Union County","SD",0
"Union County","TN",1
"Union Parish","LA",0
"Upshur County","TX",0
"Upshur County","WV",1
"Upton County","TX",0
"Utah County","UT",0
"Uvalde County","TX",0
"Val Verde County","TX",0
"Valencia County","NM",0
"Valley County","ID",0
"Valley County","MT",0
"Valley County","NE",0
"Van Buren County","MI",1
"Van Buren County","TN",1
"Van Wert County","OH",1
"Van Zandt County","TX",0
"Vance County","NC",1
"Vanderburgh County","IN",1
"Venango County","PA",1
"Vermilion County","IL",1
"Vermilion Parish","LA",0
"Vermillion County","IN",1
"Vernon Parish","LA",0
"Victoria County","TX",0
"Vigo County","IN",1
"Vinton County","OH",1
"Virginia Beach city","VA",1
"Volusia County","FL",0
"Wabash County","IL",1
"Wabash County","IN",1
"Wabasha County","MN",0
"Wabaunsee County","KS",0
"Wadena County","MN",0
"Wagoner County","OK",0
"Wahkiakum County","WA",0
"Wake County","NC",1
"Wakulla County","FL",0
"Walker County","TX",0
"Walla Walla County","WA",0
"Wallace County","KS",0
"Waller County","TX",0
"Wallowa County","OR",0
"Walsh County","ND",0
"Walton County","FL",0
"Walworth County","SD",0
"Ward County","ND",0
"Ward County","TX",0
"Warren County","IL",1
"Warren County","IN",1
"Warren County","KY",1
"Warren County","NC",1
"Warren County","NJ",1
"Warren County","NY",1
"Warren County","OH",1
"Warren County","PA",1
"Warren County","TN",1
"Warren County","VA",1
"Warrick County","IN",1
"Wasatch County","UT",0
"Wasco County","OR",0
"Waseca County","MN",0
"Washakie County","WY",0
"Washington County","FL",0
"Washington County","ID",0
"Washington County","IL",1
"Washington County","IN",1
"Washington County","KS",0
"Washington County","KY",1
"Washington County","MD",1
"Washington County","MN",0
"Washington County","NC",1
"Washington County","NE",0
"Washington County","NY",1
"Washington County","OH",1
"Washington County","OK",0
"Washington County","OR",0
"Washington County","PA",1
"Washington County","RI",1
"Washington County","TN",1
"Washington County","TX",0
"Washington County","UT",0
"Washington County","VA",1
"Washington Parish","LA",0
"Washita County","OK",0
"Washoe County","NV",0
"Washtenaw County","MI",1
"Watauga County","NC",1
"Watonwan County","MN",0
"Wayne County","IL",1
"Wayne County","IN",1
"Wayne County","KY",1
"Wayne County","MI",1
"Wayne County","NC",1
"Wayne County","NE",0
"Wayne County","NY",1
"Wayne County","OH",1
"Wayne County","PA",1
"Wayne County","TN",1
"Wayne County","UT",0
"Wayne County","WV",1
"Waynesboro city","VA",1
"Weakley County","TN",1
"Webb County","TX",0
"Weber County","UT",0
"Webster County","KY",1
"Webster County","NE",0
"Webster County","WV",1
"Webster Parish","LA",0
"Wells County","IN",1
"Wells County","ND",0
"West Baton Rouge Parish","LA",0
"West Carroll Parish","LA",0
"West Feliciana Parish","LA",0
"Westchester County","NY",1
"Westmoreland County","PA",1
"Westmoreland County","VA",1
"Weston County","WY",0
"Wetzel County","WV",1
"Wexford County","MI",1
"Wharton County","TX",0
"Whatcom County","WA",0
"Wheatland County","MT",0
"Wheeler County","NE",0
"Wheeler County","OR",0
"Wheeler County","TX",0
"White County","IL",1
"White County","IN",1
"White County","TN",1
"White Pine County","NV",0
"Whiteside County","IL",1
"Whitley County","IN",1
"Whitley County","KY",1
"Whitman County","WA",0
"Wibaux County","MT",0
"Wichita County","KS",0
"Wichita County","TX",0
"Wicomico County","MD",1
"Wilbarger County","TX",0
"Wilkes County","NC",1
"Wilkin County","MN",0
"Will County","IL",1
"Willacy County","TX",0
"Williams County","ND",0
"Williams County","OH",1
"Williamsburg County","SC",1
"Williamsburg city","VA",1
"Williamson County","IL",1
"Williamson County","TN",1
"Williamson County","TX",0
"Wilson County","KS",0
"Wilson County","NC",1
"Wilson County","TN",1
"Wilson County","TX",0
"Winchester city","VA",1
"Winkler County","TX",0
"Winn Parish","LA",0
"Winnebago County","IL",1
"Winona County","MN",0
"Wirt County","WV",1
"Wise County","TX",0
"Wise County","VA",1
"Wolfe County","KY",1
"Wood County","OH",1
"Wood County","TX",0
"Wood County","WV",1
"Woodford County","IL",1
"Woodford County","KY",1
"Woods County","OK",0
"Woodson County","KS",0
"Woodward County","OK",0
"Worcester County","MA",1
"Worcester County","MD",1
"Wright County","MN",0
"Wyandot County","OH",1
"Wyandotte County","KS",0
"Wyoming County","NY",1
"Wyoming County","PA",1
"Wyoming County","WV",1
"Wythe County","VA",1
"Yadkin County","NC",1
"Yakima County","WA",0
"Yamhill County","OR",0
"Yancey County","NC",1
"Yankton County","SD",0
"Yates County","NY",1
"Yellow Medicine County","MN",0
"Yellowstone County","MT",0
"Yoakum County","TX",0
"York County","NE",0
"York County","PA",1
"York County","SC",1
"York County","VA",1
"Young County","TX",0
"Zapata County","TX",0
"Zavala County","TX",0
"Ziebach County","SD",0
